Total Kasus;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?
18/03/20;0;1;17;0;0;3;158;0;24;8;8;2;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
19/03/20;0;1;27;0;0;5;210;0;26;12;9;2;3;0;0;0;3;0;0;0;1;2;3;2;0;1;2;0;0;0;0;0;0;0;0
20/03/20;0;4;37;0;0;4;215;0;41;12;15;2;10;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0;13
21/03/20;0;3;43;0;0;5;267;0;55;14;26;2;9;2;0;0;4;0;0;0;1;2;3;2;0;1;1;0;0;0;0;0;0;0;10
22/03/20;0;3;47;0;0;5;307;0;59;15;41;2;9;2;1;0;4;0;0;0;1;2;3;2;0;1;1;0;1;0;2;0;0;0;6
23/03/20;0;6;56;0;0;5;353;1;59;15;41;2;11;2;1;0;5;0;0;0;1;2;3;2;0;1;1;1;1;0;2;0;0;0;8
24/03/20;0;6;65;0;0;6;424;1;60;19;51;3;11;3;1;0;5;1;1;0;2;7;3;4;0;1;2;1;1;0;3;0;0;0;5
25/03/20;0;9;67;0;0;17;463;1;73;38;51;3;11;3;2;0;5;2;1;0;2;7;3;13;0;1;1;1;1;0;3;0;0;0;12
26/03/20;1;9;67;0;0;16;515;1;78;40;59;3;11;6;1;0;5;2;1;3;2;8;3;27;1;3;2;1;1;0;7;0;0;0;20
27/03/20;4;9;84;0;0;22;598;1;98;43;66;3;11;6;1;0;5;2;1;5;2;8;3;29;1;4;1;1;1;2;7;0;0;0;28
28/03/20;4;9;103;0;0;22;627;1;119;55;77;3;17;7;1;2;5;2;2;5;2;8;3;33;2;4;1;1;1;2;7;0;0;0;30
29/03/20;5;10;106;0;0;22;675;1;149;63;90;8;17;7;1;2;5;2;2;5;2;8;3;47;2;4;2;1;1;2;9;1;0;0;33
30/03/20;5;19;128;1;0;18;698;2;180;81;91;9;17;7;5;2;6;2;2;8;2;13;3;50;3;8;3;1;1;2;9;1;0;0;37
31/03/20;5;19;142;2;1;23;747;2;198;93;93;9;20;9;8;2;7;4;5;8;2;19;3;50;3;8;3;1;1;2;10;1;0;0;28
01/04/20;5;25;152;2;1;28;808;2;220;104;104;10;21;9;8;2;7;6;5;8;3;22;3;66;2;8;3;1;1;2;10;1;0;0;28
02/04/20;5;25;164;2;1;27;897;2;223;104;104;10;21;9;8;2;7;6;11;8;3;22;3;66;2;8;7;1;1;2;10;1;0;0;28
03/04/20;5;27;170;2;2;27;971;2;225;114;155;10;22;12;8;8;8;7;12;8;3;22;6;82;4;12;10;1;1;2;16;1;0;0;31
04/04/20;5;32;173;2;2;33;1028;2;247;120;152;10;24;11;8;8;8;7;12;8;3;25;5;82;4;11;10;1;1;2;18;1;0;0;37
05/04/20;5;35;177;2;2;34;1124;2;252;120;188;10;30;11;16;8;9;7;16;8;3;25;6;83;4;11;11;1;1;2;26;2;0;0;42
06/04/20;5;43;187;2;2;40;1232;2;263;132;189;12;31;20;18;15;9;10;16;18;5;26;7;113;4;12;12;1;1;2;26;2;0;0;34
07/04/20;5;43;194;2;2;41;1369;2;343;133;194;10;31;20;18;15;9;10;16;18;8;26;7;127;5;12;12;1;1;2;26;2;0;0;34
08/04/20;6;49;212;2;2;41;1470;2;365;140;196;10;32;20;22;16;9;10;16;18;8;59;11;127;5;15;12;2;3;2;38;2;0;0;34
09/04/20;6;63;218;3;4;41;1706;2;376;144;223;10;32;20;22;16;22;16;17;18;8;59;15;138;5;15;12;2;3;2;38;2;1;0;34
10/04/20;5;75;243;3;4;41;1753;2;388;144;256;10;35;24;29;16;21;25;21;31;13;59;15;167;14;20;13;2;3;2;38;3;1;1;35
11/04/20;5;79;279;4;4;41;1948;4;421;144;267;10;35;24;29;16;21;27;21;31;13;59;16;178;19;20;16;2;3;2;62;5;1;1;35
12/04/20;5;81;281;4;4;41;2044;4;450;200;386;13;35;24;34;16;21;37;21;44;17;65;16;222;19;20;16;2;11;3;63;5;1;1;35
13/04/20;5;86;285;4;4;57;2186;4;540;203;440;13;35;25;34;16;21;37;18;45;17;67;16;223;19;21;20;2;11;2;68;5;1;1;26
14/04/20;5;92;280;4;4;62;2335;5;530;278;475;13;35;25;37;16;26;37;19;48;17;72;16;231;19;21;20;2;11;2;68;5;1;1;27
15/04/20;5;98;281;5;4;62;2474;6;559;292;499;13;35;33;49;20;32;37;22;55;18;78;24;242;22;20;20;4;14;2;75;7;1;1;27
16/04/20;5;113;297;6;4;62;2670;7;570;300;514;21;44;34;59;28;38;45;37;55;18;79;26;271;22;25;24;4;14;5;80;7;1;4;27
17/04/20;5;124;311;6;4;64;2815;8;632;304;522;21;44;35;74;47;58;51;54;62;18;79;27;332;24;26;26;4;14;5;89;7;1;4;26
18/04/20;6;131;321;6;4;67;2924;8;641;329;555;21;54;41;92;50;79;55;84;71;20;79;28;343;24;26;30;4;17;5;95;7;1;4;26
19/04/20;7;135;324;7;4;67;3032;8;696;349;590;21;59;46;96;69;79;61;89;72;20;81;37;370;27;26;30;4;17;7;107;7;1;4;26
20/04/20;7;140;341;7;4;69;3097;8;747;351;590;21;63;60;96;74;79;72;89;74;20;83;37;370;27;26;34;4;17;7;107;7;1;4;27
21/04/20;7;150;341;8;8;72;3260;13;756;449;603;27;68;67;98;77;81;93;89;76;20;84;37;374;27;27;35;4;17;7;118;7;1;7;27
22/04/20;7;152;337;8;8;75;3383;13;762;479;638;31;69;82;107;77;81;108;89;81;20;93;37;387;29;27;35;12;17;8;123;8;1;7;27
23/04/20;7;167;337;9;8;76;3517;14;784;538;664;50;74;83;114;77;83;115;93;86;31;95;37;397;29;38;36;14;17;13;130;8;1;7;26
24/04/20;8;177;359;9;8;77;3599;18;862;575;690;50;85;94;132;77;83;153;106;96;36;96;41;420;32;38;36;14;17;15;136;33;1;12;26
25/04/20;9;183;370;9;8;79;3684;21;907;621;770;51;97;100;146;83;83;180;119;97;36;105;41;432;36;38;38;14;22;16;136;35;1;14;26
26/04/20;9;186;370;10;8;82;3798;32;912;649;785;51;105;104;146;89;85;195;129;102;40;111;45;440;36;42;39;26;22;16;141;35;1;15;26
27/04/20;9;194;382;10;8;83;3869;32;951;666;796;51;107;112;150;90;86;206;129;121;40;111;45;440;36;42;39;26;22;16;151;35;1;14;26
28/04/20;9;215;388;10;8;93;4002;32;969;682;857;51;115;121;150;92;89;221;143;144;43;111;45;453;42;44;40;26;22;37;177;37;1;15;27
29/04/20;9;215;388;10;12;94;4092;32;1009;711;872;58;119;127;157;92;89;230;144;145;44;114;53;465;47;46;41;26;23;37;189;38;1;15;27
30/04/20;10;222;404;10;12;95;4175;32;1012;724;958;58;134;145;170;100;89;230;150;148;45;117;62;491;47;46;41;40;23;37;205;42;3;15;26
01/05/20;11;235;418;19;12;104;4317;32;1012;746;1034;61;136;156;179;115;89;233;156;172;45;117;62;547;48;50;42;41;23;42;210;43;3;15;26
02/05/20;11;237;427;19;12;114;4397;32;1043;767;1037;68;154;157;179;122;89;250;156;182;45;117;64;577;59;50;45;41;23;43;240;44;3;15;24
03/05/20;12;262;432;20;12;115;4463;38;1054;776;1117;70;162;157;195;122;92;269;185;195;45;123;64;601;59;50;53;50;23;43;240;44;10;15;24
04/05/20;12;271;446;20;12;115;4539;38;1252;798;1124;73;167;180;198;130;92;269;185;203;45;129;64;607;59;54;58;50;23;43;240;44;10;15;24
05/05/20;12;277;458;28;12;121;4687;43;1300;849;1171;73;168;181;212;131;97;285;199;221;45;130;69;640;70;55;61;50;23;49;247;58;12;15;22
06/05/20;17;277;487;28;14;122;4770;47;1320;891;1221;90;182;186;225;131;98;289;210;238;45;141;69;665;70;63;61;50;23;53;248;58;12;15;22
07/05/20;17;287;495;28;14;137;4855;47;1381;904;1267;95;182;188;238;131;98;300;227;252;45;142;69;684;75;63;66;50;23;53;252;58;12;19;22
08/05/20;17;300;505;28;14;143;4955;47;1404;933;1284;95;209;188;246;131;100;312;227;270;47;157;70;708;75;66;69;50;32;53;265;60;12;19;21
09/05/20;17;306;523;28;37;146;5056;62;1437;959;1419;118;214;189;253;131;101;330;278;286;53;179;71;710;75;66;71;54;32;53;277;62;12;19;21
10/05/20;17;311;533;29;37;153;5190;64;1437;978;1502;120;218;193;263;131;101;330;278;299;71;179;76;722;83;66;73;54;32;70;308;62;12;19;21
11/05/20;17;314;541;29;37;159;5276;65;1493;980;1536;120;225;200;263;132;104;331;278;299;71;196;76;722;83;66;74;54;32;70;308;62;12;19;21
12/05/20;17;328;559;29;40;169;5375;65;1545;989;1669;123;228;204;277;132;106;339;279;319;74;198;76;747;95;66;81;54;50;70;322;68;16;19;21
13/05/20;17;332;580;29;40;181;5554;65;1556;1023;1772;129;230;220;291;138;111;344;322;339;82;200;167;803;101;66;88;78;50;70;328;73;19;19;21
14/05/20;17;337;593;29;42;185;5688;66;1565;1066;1863;129;238;223;294;138;111;350;441;371;83;202;166;840;111;66;94;81;62;88;332;74;19;21;21
15/05/20;17;343;622;29;53;188;5774;69;1596;1109;1921;129;251;227;363;141;115;358;458;393;105;202;183;871;112;66;95;85;62;88;335;74;19;22;21
16/05/20;18;346;626;29;56;194;5881;79;1618;1140;2105;131;253;227;370;153;116;365;458;396;114;202;189;917;113;66;95;88;62;102;350;75;47;23;21
17/05/20;18;348;650;29;65;199;6010;80;1652;1157;2152;132;254;227;372;155;116;371;521;408;114;218;191;951;115;67;99;92;84;105;383;75;59;24;21
18/05/20;18;359;677;29;66;200;6059;81;1677;1165;2296;132;255;227;438;155;127;375;537;409;116;225;191;1017;115;83;101;93;107;105;383;75;68;28;21
19/05/20;18;363;698;29;67;207;6155;84;1700;1175;2377;132;258;232;484;160;140;375;597;420;126;235;202;1064;115;84;106;95;107;105;389;77;71;28;21
20/05/20;18;371;699;35;67;209;6236;89;1876;1192;2496;132;264;241;547;160;140;393;646;428;152;250;202;1101;115;85;107;96;124;106;409;78;76;28;21
21/05/20;18;374;753;36;69;215;6301;89;1962;1217;2998;133;266;254;557;162;140;410;674;436;180;273;202;1135;117;101;108;97;135;110;410;86;79;44;21
22/05/20;19;380;768;36;69;220;6400;91;2002;1234;3129;140;271;290;572;163;141;464;693;438;198;285;211;1206;117;105;109;99;157;119;437;86;79;47;21
23/05/20;19;388;768;39;69;225;6515;91;2045;1288;3595;168;274;292;590;163;150;474;725;443;201;294;215;1264;121;105;110;99;157;129;494;86;79;49;21
24/05/20;19;394;789;39;69;226;6634;95;2091;1309;3663;168;276;308;599;164;154;478;736;478;230;311;215;1296;121;109;111;100;159;130;556;86;79;58;21
25/05/20;19;396;789;39;69;226;6709;97;2113;1311;3886;175;276;310;602;164;154;478;812;478;239;315;215;1319;121;116;111;107;160;130;567;86;82;58;21
26/05/20;19;407;807;39;69;226;6798;97;2130;1315;3943;176;277;322;630;164;154;488;868;513;265;315;215;1352;121;116;111;118;160;132;567;87;85;58;21
27/05/20;19;415;817;42;69;228;6895;97;2157;1326;4142;183;380;330;703;165;162;537;921;537;281;332;226;1381;121;118;111;119;170;132;581;88;85;60;21
28/05/20;20;420;831;42;71;228;7001;97;2181;1336;4313;184;281;337;819;165;175;562;942;541;297;362;240;1427;126;118;111;128;188;152;584;88;85;65;21
29/05/20;20;443;845;42;72;230;7128;97;2211;1350;4414;184;285;367;893;165;178;590;953;541;306;400;241;1468;126;131;117;139;215;158;640;88;90;68;21
30/05/20;20;455;858;45;86;233;7229;97;2231;1366;4613;184;291;398;893;165;196;594;963;552;322;406;241;1510;126;132;117;146;215;162;658;88;91;69;21
31/05/20;20;465;861;46;91;236;7348;97;2260;1403;4857;189;295;410;919;165;197;636;982;567;339;409;244;1541;128;133;117;153;223;168;675;92;92;94;21
01/06/20;20;482;867;46;91;237;7485;97;2294;1417;4922;196;297;419;948;165;197;652;995;567;339;417;244;1586;128;135;117;160;223;168;725;92;97;94;21
02/06/20;20;487;883;50;92;237;7541;97;2314;1432;5135;196;298;428;969;165;209;670;1019;574;354;418;244;1630;128;136;117;174;223;172;819;92;97;108;21
03/06/20;20;490;954;62;92;237;7623;97;2319;1455;5318;202;310;456;1033;165;209;685;1029;583;377;444;251;1668;129;136;117;176;238;172;858;92;97;118;21
04/06/20;20;510;965;72;92;237;7690;99;2354;1479;5408;202;316;469;1142;165;219;705;1056;594;382;488;252;1722;129;140;117;177;238;173;875;92;97;121;21
05/06/20;20;524;989;81;92;238;7766;101;2366;1537;5549;205;317;484;1213;167;223;757;1074;607;391;537;257;1776;136;141;117;178;254;175;918;92;97;121;21
06/06/20;20;557;1025;98;92;242;7870;103;2376;1564;5835;210;327;496;1247;168;227;798;1104;618;470;605;257;1840;139;143;118;185;261;178;1005;92;97;126;21
07/06/20;20;582;1035;102;92;244;8033;103;2404;1615;5948;210;329;496;1285;169;228;808;1129;626;495;605;259;1904;159;144;118;186;269;179;1064;94;97;134;21
08/06/20;20;594;1047;102;92;247;8121;103;2424;1642;6313;210;338;504;1347;169;228;822;1158;626;510;607;259;2014;159;145;118;186;307;179;1090;94;103;134;21
09/06/20;20;608;1061;121;92;249;8355;103;2448;1674;6533;234;351;522;1438;170;228;830;1188;645;551;618;263;2194;159;148;120;190;315;183;1108;94;103;139;21
10/06/20;22;640;1096;123;92;250;8503;105;2506;1813;6806;245;362;537;1565;170;228;857;1229;659;546;635;266;2383;159;150;120;227;328;191;1137;95;105;145;21
11/06/20;22;659;1121;126;92;252;8650;105;2551;1832;7103;245;365;552;1634;170;238;868;1271;661;579;680;272;2524;159;152;120;263;328;195;1156;96;105;149;
12/06/20;22;695;1157;132;95;262;8740;106;2572;1876;7421;267;373;565;1694;170;238;891;1304;671;644;768;277;2582;159;153;120;285;387;200;1197;97;105;181;
13/06/20;22;723;1231;136;98;264;8861;108;2587;1946;7597;267;376;586;1817;170;239;904;1326;674;651;862;279;2707;168;165;125;302;400;205;1237;97;105;185;
14/06/20;27;741;1240;144;101;269;8978;108;2604;2059;7793;268;378;586;1887;170;239;915;1396;681;658;872;283;2840;170;166;125;310;421;208;1249;98;108;185;
15/06/20;27;760;1243;144;101;272;9120;108;2623;2175;8063;268;382;631;1953;170;254;937;1448;681;676;932;286;2941;171;166;126;312;452;209;1249;98;108;208;
16/06/20;27;782;1277;145;104;273;9222;108;2662;2231;8308;270;392;657;2122;171;254;957;1498;687;701;957;291;3116;172;166;126;312;496;212;1281;98;108;214;
17/06/20;37;829;1309;147;105;276;9349;109;2703;2346;8533;282;397;702;2208;171;263;978;1541;691;736;970;292;3200;172;169;128;322;520;214;1311;99;108;214;
18/06/20;38;895;1327;147;105;276;9516;109;2758;2391;8917;282;405;738;2326;171;263;1008;1596;696;761;993;326;3366;172;171;134;343;537;219;1350;104;108;214;
19/06/20;38;976;1331;147;107;277;9655;112;2805;2471;9057;296;417;738;2392;173;263;1022;1680;700;784;1024;329;3573;173;172;142;383;544;222;1368;104;108;220;
20/06/20;39;1013;1347;148;116;285;9829;112;2828;2569;9451;298;423;764;2475;175;264;1051;1721;703;809;1082;332;3685;173;180;142;400;581;222;1380;104;108;220;
21/06/20;49;1050;1355;148;116;288;9971;112;2848;2668;9542;298;434;764;2569;176;279;1056;1779;707;853;1095;332;3797;173;181;142;411;603;224;1429;104;111;227;
22/06/20;49;1080;1361;148;116;288;10098;112;2865;2717;9857;298;435;785;2658;177;281;1067;1839;707;854;1115;334;3908;176;181;166;431;633;224;1440;104;111;230;
23/06/20;49;1116;1373;148;118;291;10250;114;2901;2766;10115;313;447;796;2685;177;281;1081;1855;712;861;1232;336;4062;179;181;193;465;634;224;1495;104;111;231;
24/06/20;53;1158;1390;148;118;292;10404;114;2945;2842;10298;313;456;800;2775;179;284;1102;1869;715;892;1287;337;4194;180;183;217;560;671;225;1554;105;111;238;
25/06/20;66;1214;1399;148;120;299;10600;114;2977;2920;10545;313;473;810;2835;188;291;1119;1893;717;938;1356;337;4297;181;187;220;640;684;233;1613;106;111;243;
26/06/20;69;1263;1414;148;124;302;10796;114;3014;3097;10901;313;483;817;2876;197;291;1142;1907;720;984;1370;341;4469;183;187;223;661;691;233;1633;108;113;243;
27/06/20;77;1369;1432;149;125;304;10994;117;3064;3294;11178;321;494;822;2930;201;291;1163;1950;722;1039;1447;343;4615;184;188;223;698;705;234;1670;112;113;243;1
28/06/20;79;1414;1438;149;125;306;11114;117;3091;3482;11508;321;503;834;3003;201;293;1199;2000;725;1057;1467;343;4807;186;188;224;719;711;236;1696;114;113;243;4
29/06/20;79;1444;1444;152;125;306;11237;117;3134;3680;11805;321;510;881;3042;204;293;1213;2023;725;1082;1480;345;4995;186;188;226;719;726;237;1699;114;113;243;4
30/06/20;80;1493;1453;152;125;313;11424;117;3218;3833;12136;321;518;894;3148;206;293;1234;2049;726;1109;1551;363;5084;189;190;226;728;742;239;1750;115;113;249;4
01/07/20;86;1527;1466;155;129;314;11637;117;3276;4006;12321;336;525;931;3223;206;302;1245;2078;742;1129;1601;405;5214;186;191;227;875;749;242;1846;117;113;249;4
02/07/20;86;1640;1474;155;130;320;11823;117;3344;4159;12695;336;531;946;3337;206;307;1260;2120;750;1159;1690;464;5379;186;193;228;940;762;244;1916;119;118;256;4
03/07/20;87;1706;1495;157;136;324;11961;117;3374;4293;13048;336;544;996;3447;206;310;1283;2156;760;1178;1723;475;5559;186;193;232;950;769;249;1942;120;118;261;4
04/07/20;87;1797;1508;161;137;325;12183;117;3463;4403;13461;336;557;1004;3520;206;311;1311;2205;762;1192;1767;479;5754;191;193;233;953;776;253;1984;124;118;269;2
05/07/20;87;1849;1513;163;141;331;12435;120;3574;4611;14013;339;584;1032;3564;206;313;1330;2255;775;1208;1778;482;5890;191;195;234;953;794;255;2021;124;118;269;2
06/07/20;87;1900;1525;169;141;339;12667;120;3700;4738;14321;339;597;1040;3628;206;313;1362;2326;775;1218;1798;484;5974;191;201;235;953;804;265;2027;124;118;271;2
07/07/20;88;1940;1531;171;144;346;12857;121;3779;4878;14601;344;603;1058;3695;206;313;1392;2356;780;1252;1821;487;6192;191;201;236;967;830;266;2057;127;118;276;2
08/07/20;89;1971;1544;171;151;349;13211;121;3878;5083;14967;344;617;1073;3818;206;318;1415;2419;780;1342;1977;494;6358;193;202;236;1037;837;266;2074;129;121;286;2
09/07/20;90;2024;1559;171;155;357;13488;122;4843;5203;15484;347;623;1096;3926;214;321;1444;2475;785;1468;2085;500;6488;193;203;238;1077;845;272;2101;130;121;286;2
10/07/20;90;2110;1573;171;158;364;13739;122;4951;5303;15730;347;642;1131;3990;214;321;1480;2568;791;1570;2197;507;6620;193;205;238;1101;858;276;2181;135;121;316;34
11/07/20;99;2147;1581;172;162;370;14113;122;5027;5403;16140;347;673;1157;4069;214;327;1520;2604;794;1637;2284;509;6800;193;205;239;1122;864;282;2204;138;121;345;34
12/07/20;106;2195;1593;172;163;371;14517;122;5077;5473;16658;350;690;1196;4146;214;332;1550;2653;800;1660;2323;511;6973;193;208;240;1130;874;286;2267;142;121;359;34
13/07/20;106;2257;1600;172;163;379;14797;122;5160;5573;16877;355;695;1222;4218;215;332;1573;2703;800;1680;2367;518;7097;193;209;243;1143;900;286;2365;143;121;363;34
14/07/20;110;2358;1609;174;168;387;15064;124;5235;5653;17230;355;722;1254;4379;215;337;1594;2754;803;1697;2497;521;7294;194;209;246;1145;900;292;2366;146;121;385;34
15/07/20;137;2421;1612;175;170;396;15324;125;5310;5914;17395;355;756;1254;4488;215;341;1620;2784;805;1741;2596;531;7452;195;215;246;1184;920;292;2426;152;121;392;34
16/07/20;140;2533;1629;175;171;404;15636;125;5350;6128;17574;359;780;1266;4621;215;341;1650;2832;806;1769;2693;540;7630;195;219;251;1221;926;296;2478;154;121;416;24
17/07/20;145;2619;1638;175;173;408;15889;126;5402;6366;17829;359;823;1324;4722;216;341;1671;2899;813;1797;2776;554;7713;195;220;256;1232;928;301;2496;154;121;425;24
18/07/20;145;2690;1646;176;179;416;16236;132;5461;6632;18033;359;848;1324;4829;216;344;1694;2966;817;1851;2923;575;7881;195;229;261;1265;929;339;2552;158;131;426;24
19/07/20;146;2745;1674;176;181;432;16538;132;5488;6932;18308;359;868;1399;4938;216;345;1725;3012;826;1898;2937;587;8039;196;231;272;1273;960;341;2601;159;131;432;24
20/07/20;148;2781;1682;180;181;438;16899;132;5548;7286;18545;359;893;1399;4990;217;345;1759;3054;828;1962;2952;635;8164;196;231;287;1287;979;368;2640;166;134;537;12
21/07/20;149;2856;1693;180;181;465;17279;134;5659;7407;18828;359;964;1412;5083;217;345;1777;3112;836;2000;2994;671;8257;196;232;310;1328;998;371;2646;167;137;616;10
22/07/20;151;2934;1697;181;185;486;17621;136;5741;7726;19093;359;994;1448;5216;217;349;1789;3149;846;2077;3163;685;8407;196;237;348;1336;998;376;2678;169;137;616;10
23/07/20;158;2996;1707;182;195;496;18068;136;5824;8021;19450;359;1034;1475;5332;218;349;1822;3165;849;2120;3263;712;8527;200;246;350;1345;1010;386;2724;171;137;620;10
24/07/20;162;3058;1719;185;195;519;18365;138;5915;8145;19946;359;1072;1520;5422;218;351;1850;3211;852;2162;3320;735;8612;201;246;362;1372;1010;387;2792;175;137;694;10
25/07/20;168;3114;1724;186;200;536;18741;139;5988;8336;20256;365;1134;1587;5540;266;354;1883;3228;864;2216;3371;752;8748;201;247;367;1409;1016;388;2832;187;137;796;10
26/07/20;168;3157;1738;188;200;543;19125;139;6039;8412;20539;365;1166;1632;5656;266;355;1903;3251;869;2263;3390;768;8881;202;250;378;1441;1046;392;2889;192;145;820;10
27/07/20;168;3219;1748;191;200;558;19592;139;6084;8622;20812;365;1184;1653;5689;266;355;1926;3275;869;2313;3438;769;8991;202;252;382;1455;1046;396;2945;193;145;851;10
28/07/20;193;3249;1757;191;210;572;19995;139;6218;8807;21125;381;1250;1677;5782;268;362;1946;3296;874;2357;3518;769;9123;206;252;409;1493;1068;397;2962;195;145;855;10
29/07/20;238;3310;1772;193;212;587;20572;154;6314;9120;21484;381;1307;1677;5884;268;370;1986;3330;891;2415;3759;776;9251;207;252;415;1524;1069;413;2988;201;145;957;10
30/07/20;312;3360;1801;193;214;610;20969;156;6461;9281;21772;381;1377;1701;5970;280;370;2022;3387;907;2502;3827;782;9346;207;255;426;1530;1093;430;3021;223;145;1015;10
31/07/20;415;3407;1835;193;217;674;21399;162;6532;9516;22089;387;1426;1729;6098;283;447;2065;3417;948;2580;3931;782;9422;207;255;445;1530;1093;433;3059;230;145;1015;10
01/08/20;415;3448;1858;193;218;741;21767;168;6584;9659;22324;387;1433;1760;6160;284;491;2065;3427;948;2648;3962;787;9552;207;255;446;1543;1124;451;3087;232;145;1157;10
02/08/20;431;3488;1870;193;235;760;22144;169;6637;9732;22504;387;1516;1777;6192;284;493;2115;3444;957;2668;4136;787;9647;213;271;456;1557;1135;460;3114;238;151;1284;10
03/08/20;433;3529;1891;196;235;772;22616;169;6693;9827;22982;387;1538;1791;6238;284;493;2150;3455;974;2746;4193;789;9744;213;297;506;1562;1135;460;3114;239;151;1322;10
04/08/20;440;3578;1924;196;238;784;23026;188;6787;9887;23412;387;1598;1844;6357;287;493;2171;3490;987;2776;4261;859;9861;213;297;577;1568;1146;471;3164;241;151;1387;10
05/08/20;442;3617;1947;197;239;801;23380;193;6912;10036;23829;387;1665;1849;6411;287;500;2197;3553;1006;2794;4391;892;9987;215;298;606;1575;1175;481;3175;245;152;1427;10
06/08/20;483;3644;1979;197;240;819;23936;193;6995;10151;24115;394;1701;1874;6478;291;500;2224;3602;1038;2822;4477;951;10169;215;299;621;1582;1221;492;3192;265;152;1431;10
07/08/20;536;3682;2013;200;240;838;24601;205;7147;10383;24493;397;1799;1911;6535;291;517;2239;3623;1079;2840;4693;978;10257;216;303;656;1613;1292;536;3215;267;152;1469;10
08/08/20;536;3720;2035;200;243;854;25287;210;7387;10471;24922;397;1834;1977;6617;292;526;2263;3675;1102;2860;4794;998;10364;216;307;706;1670;1298;551;3215;275;152;1549;0
09/08/20;580;3779;2059;201;252;862;25727;210;7566;10611;25330;410;1887;2007;6715;294;534;2290;3694;1140;2904;4819;1020;10454;216;307;732;1674;1330;552;3257;275;152;1556;
10/08/20;676;3817;2082;203;253;876;26162;210;7599;10679;25626;416;1932;2050;6765;296;555;2316;3713;1176;2976;4948;1020;10531;216;316;773;1680;1345;557;3278;275;152;1614;0
11/08/20;676;3862;2101;203;258;880;26624;210;7694;10765;25917;420;2060;2081;6836;299;572;2338;3735;1189;3012;5155;1052;10585;216;318;789;1691;1347;558;3279;282;155;1617;0
12/08/20;748;3892;2150;203;260;900;27153;215;7803;10944;26220;429;2106;2087;6889;303;599;2362;3778;1216;3025;5264;1076;10675;220;320;821;1709;1367;571;3305;282;162;1664;0
13/08/20;748;3927;2187;203;264;911;27761;215;7914;11148;26561;439;2129;2131;6934;312;613;2375;3805;1258;3150;5358;1106;10756;220;327;889;1717;1406;595;3336;287;162;1672;0
14/08/20;840;3980;2208;205;274;946;28299;222;8275;11340;26979;444;2227;2151;6989;312;625;2399;3844;1300;3211;5427;1139;10793;223;332;918;1729;1416;595;3345;299;162;1675;0
15/08/20;865;4024;2241;207;277;992;28882;225;8512;11471;27415;447;2283;2188;7051;325;647;2421;3880;1337;3261;5622;1167;10895;223;332;959;1739;1448;601;3345;306;165;1715;0
16/08/20;876;4065;2284;212;279;1025;29400;225;8595;11639;27903;447;2369;2188;7151;328;657;2436;3909;1350;3282;5673;1202;11051;223;341;983;1741;1495;605;3422;307;165;1721;0
17/08/20;1044;4110;2301;214;279;1041;29952;245;8640;11675;28239;447;2485;2215;7241;329;664;2458;3910;1376;3288;5690;1216;11148;227;343;1017;1744;1521;607;3432;319;165;1788;0
18/08/20;1069;4158;2364;216;280;1059;30465;245;8685;11793;28551;452;2578;2258;7281;329;664;2481;3919;1413;3315;5820;1217;11187;228;343;1039;1746;1530;620;3432;320;165;1821;0
19/08/20;1132;4220;2411;219;286;1090;31016;250;8789;11924;28886;456;2669;2258;7363;332;679;2505;3964;1439;3336;5898;1217;11219;233;346;1050;1756;1553;634;3453;322;165;1875;0
20/08/20;1137;4292;2434;220;286;1138;31610;250;8988;12092;29257;471;2697;2291;7544;337;680;2526;3988;1483;3401;5957;1277;11278;233;352;1097;1761;1611;640;3520;323;165;1875;0
21/08/20;1141;4368;2470;222;287;1163;32267;271;9081;12188;29715;500;2892;2314;7618;339;701;2550;4037;1528;3451;5978;1299;11376;235;353;1132;1761;1611;643;3534;331;165;1887;0
22/08/20;1211;4446;2512;226;288;1178;32855;274;9215;12288;30036;533;3021;2348;7696;340;701;2564;4091;1565;3522;6051;1310;11437;236;356;1195;1770;1615;647;3567;347;170;1887;0
23/08/20;1211;4513;2544;228;288;1193;33470;274;9283;12476;30315;566;3101;2410;7777;349;745;2582;4125;1633;3552;6129;1323;11470;238;362;1237;1774;1669;649;3567;352;171;1959;0
24/08/20;1241;4576;2605;228;289;1207;34103;274;9420;12628;30635;578;3145;2427;7838;357;756;2596;4157;1659;3554;6166;1327;11516;239;365;1279;1778;1677;659;3650;353;171;1959;0
25/08/20;1261;4650;2637;231;300;1248;34740;281;9670;12826;30998;605;3286;2438;7920;360;767;2613;4202;1736;3598;6300;1365;11568;239;369;1319;1779;1742;659;3650;360;172;1970;0
26/08/20;1291;4726;2666;235;303;1264;35453;289;9848;12973;31329;605;3420;2446;7974;361;775;2641;4223;1823;3613;6437;1402;11638;239;371;1361;1809;1748;711;3686;362;173;1970;0
